ZLPAR,ZLPARDESCRIPTION,ZHMCNAME,ZSERVERNAME,ZSERIALNUMBER,ZSYSTEMTYPE,ZMODEL,ZOS400RELEASE,ZNUMBERPROCESSORS,ZAUXSTORAGE,ZSYSTEMASP,ZMAINSTORAGE,ZAPPLICATION,ZENVIRONMENT,ZAUDITEXTERNAL,ZAUDITINTERNAL,ZBUILDTIME,ZCOMMENTS,Z_PK,Z_ENT,Z_OPT,ZFEAGRP
GSOTEST1,EDI,HMC02B,Gort,108D540,9117, MMA,V7R1M0,16,6703672,6703672,2041088,EDI,non-Prod,No,No,2017-12-06-17.16.29.638000,EDI,1,1,1, P30
GSOTEST2,Island Pacific,HMC02B,Gort,108D540,9117, MMA,V7R1M0,16,13407344,13407344,6291456,Island Pacific,non-Prod,No,No,2017-12-06-17.15.23.745000,Island Pacific Development,2,1,1, P30
PRLSYSI,Infinium,HMC02B,Sonny,1089D42,9117, MMA,V7R1M0,16,4817611,4817611,8380416,Infinium,Production,E&Y Audit,No,2017-12-06-23.20.47.071000,EU Infinium Financials,3,1,1, P30
PRLSYSJ,Aldon,HMC02B,Sonny,1089D42,9117, MMA,V7R1M0,16,2046384,2046384,4947456,Aldon,non-Prod,No,No,2017-12-06-23.14.14.201000,EU Aldon Host,4,1,1, P30
PRLSYSK,CSM,HMC02B,Sonny,1089D42,9117, MMA,V7R1M0,16,2567048,2567048,6291456,CSM,Production,E&Y Audit,No,2017-12-06-23.13.16.003000,CSM,5,1,1, P30
PRLSYSL,Island Pacific,HMC02B,Sonny,1089D42,9117, MMA,V7R1M0,16,2461553,2145068,8313856,Island Pacific,Production,E&Y Audit,Self Asses,2017-12-06-17.22.44.171000,Club Monico Island Pacific,6,1,1, P30
SECNJ1,Womens Wear,HMC02B,Gort,108D540,9117, MMA,V5R4M0,16,1058475,1058475,3114624,Womens Wear,Production,No,No,2017-12-06-17.12.52.161000,Womens Wear,7,1,1, P30
SYSA,Retired,HMC02B,Gort,108D540,9117, MMA,V5R4M0,16,4516158,4516158,6130752,Retired,non-Prod,No,No,2017-12-06-17.12.29.268000,Retired,8,1,1, P30
SYSB,Island Pacific,HMC02B,Gort,108D540,9117, MMA,V7R1M0,16,6470368,6470368,16627712,Island Pacific,Production,E&Y Audit,Self Asses,2017-12-06-17.28.56.564000,US Retail Island Pacific,9,1,1, P30
SYSBLON,Island Pacific,HMC02B,Sonny,1089D42,9117, MMA,V7R1M0,16,3868155,3586835,7265280,Island Pacific,Production,E&Y Audit,Self Asses,2017-12-06-22.22.27.593000,EU Retail Island Pacific,10,1,1, P30
SYSG,PKMS,HMC02B,Gort,108D540,9117, MMA,V7R1M0,16,2531883,2531883,49733632,PKMS,Production,E&Y Audit,Self Asses,2017-12-06-17.20.46.002000,Greensboro PKMS Retail & Wholesale,11,1,1, P30
SYSGTEST,PKMS,HMC02B,Gort,108D540,9117, MMA,V7R1M0,16,2893164,2893164,2078464,PKMS,non-Prod,No,No,2017-12-06-17.13.17.382000,PKMS Development,12,1,1, P30
SYSU,Movex,HMC02B,Sonny,1089D42,9117, MMA,V5R4M0,16,6716524,6716524,82569344,Movex,non-Prod,No,No,2017-12-06-17.11.44.867000,Movex Retired,13,1,1, P30
SYSV,GFE,HMC02B,Sonny,1089D42,9117, MMA,V5R4M0,16,3627637,3627637,27984960,GFE,Production,E&Y Audit,Self Asses,2017-12-06-17.13.34.510000,Legacy GFE and Host for EPAS,14,1,1, P30
